dataset_id,dataset_label,variant,display_name,threads,expected_count,runtime_mean_s,runtime_stddev_s,throughput_structures_per_sec,ms_per_structure,peak_rss_mean_mib,peak_rss_stddev_mib,throughput_per_mib,cpu_utilization_proxy,speedup_vs_1_thread,parallel_efficiency
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta_bitmask,Lahuta bitmask,8,4370,2.280009786933334,0.00469294427227807,1916.6584393822939,0.5217413700076279,170.125,0.0,11.266177454120758,7.61986447583086,5.8934827806740895,0.7366853475842612
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta_bitmask,Lahuta bitmask,10,4370,2.034327225866667,0.010043495615246466,2148.1303226123255,0.4655211043173151,180.734375,0.0,11.885565889788953,9.028225692079701,6.6052296052497,0.66052296052497
UP000005640_9606_HUMAN_v6_pdb,Human AFDB,zsasa_f64,zsasa f64,10,23586,45.50808386158667,0.06608106644724661,518.2815446973569,1.9294532291014443,82.328125,0.0,6.29531578300073,9.417154002135671,,
UP000005640_9606_HUMAN_v6_pdb,Human AFDB,zsasa_f32,zsasa f32,10,23586,44.35188979962667,0.05502017793066085,531.7924468733356,1.8804328754187514,76.421875,0.0,6.958641709240131,9.388067989461517,,
UP000005640_9606_HUMAN_v6_pdb,Human AFDB,zsasa_bitmask_f64,zsasa bitmask f64,10,23586,14.1503570128,0.0439775612410633,1666.813069003474,0.5999472997880099,83.734375,0.08118988160479113,19.905959398436714,9.277870351109156,,
UP000005640_9606_HUMAN_v6_pdb,Human AFDB,zsasa_bitmask_f32,zsasa bitmask f32,10,23586,13.814230546586666,0.07584226836008748,1707.3697967077742,0.585696198871647,79.46354166666667,0.036084391824351615,21.486203117774963,9.266032828127953,,
UP000005640_9606_HUMAN_v6_pdb,Human AFDB,freesasa_batch,FreeSASA batch,10,23586,133.95997850397998,0.4485161441305003,176.06751108353794,5.6796395532934785,627.46875,0.0,0.28059964911963814,7.70010873152452,,
UP000005640_9606_HUMAN_v6_pdb,Human AFDB,rustsasa,RustSASA,10,23586,67.53134500762,0.19291592385467674,349.26003617044256,2.863196176020521,329.953125,0.0,1.058514103087954,5.752953299283898,,
UP000005640_9606_HUMAN_v6_pdb,Human AFDB,lahuta,Lahuta,10,23586,72.15207496688,0.12346786193419194,326.89288576699556,3.059106036075638,340.546875,0.0,0.959905698054036,9.569827852125101,,
UP000005640_9606_HUMAN_v6_pdb,Human AFDB,lahuta_bitmask,Lahuta bitmask,10,23586,19.566379580719996,0.03938220986936216,1205.4350628687994,0.8295760018960399,326.9375,0.0,3.6870504694897326,9.332131127616657,,
